Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
12673,10281,新莊國小,Xinzhuang Elementary School,27,,0,121.456562,25.036727,中正路上近登龍街路口同向(向東),"121.456562, 25.036727"
12681,10281,中興街口,Zhongxing St. Entrance,32,,0,121.469408,25.045403,重新路五段592號同向(向北),"121.469408, 25.045403"
12685,10281,重新大橋,Chongxin Bridge,35,,0,121.4876744,25.05142477,成功路106號同向(向東),"121.4876744, 25.05142477"
12689,10281,祖師廟(貴陽),Zushi Temple(Guiyang),36,,0,121.5024902,25.03997288,貴陽街128號(向東),"121.5024902, 25.03997288"
12691,10281,貴陽街,Guiyang St.,37,,0,121.5058238,25.03944953,貴陽街2段26號(向東),"121.5058238, 25.03944953"
12697,10281,衡陽路,Hengyang Rd.,45,,1,121.51021,25.04227,衡陽路91號(兆豐商銀前)(向西),"121.51021, 25.04227"
12699,10281,西門市場(成都),Ximen Market(Chengdu),46,,1,121.5066536,25.04268954,成都路35-1號前(向西),"121.5066536, 25.04268954"
12701,10281,西門國小,Ximen Elementary School,47,,1,121.5040034,25.04329907,成都路119號(向西),"121.5040034, 25.04329907"
12637,10281,光明里,Guangming Village,9,,0,121.4260504,25.01453194,民安西路217號(向北),"121.4260504, 25.01453194"
12639,10281,光華國小(民安西路),Guanghua Elementary School (Minan W. Rd.),10,,0,121.426301,25.016748,民安西路147號(向北),"121.426301, 25.016748"
12643,10281,龍安大第,Longan Dadi,12,,0,121.4221636,25.01933187,龍安路331號同向(向西),"121.4221636, 25.01933187"
12645,10281,萬安公園,Wanan Park,13,,0,121.4200836,25.01999805,龍安路214號(向北),"121.4200836, 25.01999805"
13937,10143,大坪頂,Dapingding,78,,1,121.5298939,24.96132951,安康路1段75號(向北),"121.5298939, 24.96132951"
12647,10281,裕民國小,Yumin Elementary School,14,,0,121.41789,25.02076,龍安路96號(向西),"121.41789, 25.02076"
12649,10281,丹鳳高中,Danfeng High School,15,,0,121.416282,25.02129417,龍安路72號(向北),"121.416282, 25.02129417"
12659,10281,三洋,Sanyo,20,,0,121.42685,25.03016,中正路669號(向東),"121.42685, 25.03016"
20146,10116,中和站,Zhonghe Stop,0,,0,121.4909948,24.98982846,錦和路402號同向(向東),"121.4909948, 24.98982846"
20147,10116,圓通路305巷,Yuantong Rd. Lane 305,1,,0,121.493285,24.990811,圓通路309-9號(向東),"121.493285, 24.990811"
20148,10116,力行里,Lixing Li,3,,0,121.495666,24.993046,圓通路273號同向(向北),"121.495666, 24.993046"
20149,10116,力行社區,Lixing Community,4,,0,121.496766,24.994297,圓通路207號同向(向東),"121.496766, 24.994297"
20150,10116,大同育幼院,Tatung Childrens‘ Home,5,,0,121.49861,24.9957,圓通路128號同向(向北),"121.49861, 24.9957"
20151,10116,圓通景平路口,Yuantong Rd. Intersection,6,-1,0,121.50001,24.99699,圓通路84號對向(向北),"121.50001, 24.99699"
20152,10116,南華路口,Nanhua Rd. Intersection,7,,0,121.501412,24.995486,景平路429號同向(向南),"121.501412, 24.995486"
20153,10116,捷運景安站,MRT Jingan Sta.,8,-1,0,121.504723,24.992843,新北市中和區景安路164號(向南),"121.504723, 24.992843"
20154,10116,南山捷運路,Nanshan Jieyun Rd.,9,,0,121.5048144,24.99146296,南山路311號對向(向南),"121.5048144, 24.99146296"
20156,10116,中和國中,Zhonghe Junior High School,12,,0,121.50758,24.98578,興南路二段22號(向西),"121.50758, 24.98578"
213136,18738,羅馬經典社區,Luoma Jingdian Community,1,0,0,121.355357,25.069186,林口區南勢七街路燈編號382516對面(向西),"121.355357, 25.069186"
20157,10116,華新街,Huaxin St.,13,,0,121.5079595,24.98406358,華新街48號同向(向南),"121.5079595, 24.98406358"
20158,10116,華夏科技大學,Hwaxia Institute,14,,0,121.5092408,24.98292064,忠孝街91號同向(向東),"121.5092408, 24.98292064"
20159,10116,飛駝二村,Feituo 2nd. Village,15,,0,121.5113314,24.98355304,忠孝街3號同向(向北),"121.5113314, 24.98355304"
20160,10116,放生寺,Fangsheng Temple,16,-1,0,121.512171,24.985077,忠孝街112號(向北),"121.512171, 24.985077"
20164,10116,智光商職,Chih-Kuang Senior Commercial & Industrial Vocational High School,20,-1,0,121.513454,24.994887,中正路64號(向北),"121.513454, 24.994887"
20165,10116,中興二村,Zhongxing Village 2,21,-1,0,121.5148597,24.99642433,中正路148號同向(向北),"121.5148597, 24.99642433"
20167,10116,得和路口,Dehe Rd. Entrance,23,-1,0,121.5177138,25.00054939,中正路358號(向北),"121.5177138, 25.00054939"
20168,10116,永和國小,Yonghe Elementary School,24,-1,0,121.5175452,25.0024569,中正路436號(向北),"121.5175452, 25.0024569"
20169,10116,福和里,Fuhe Village,25,-1,0,121.517121,25.006519,中正路582號同向(向北),"121.517121, 25.006519"
14225,10731,忠順街口,Zhongshun St. Entrance,90,,1,121.5618292,24.98430779,興隆路四段159號(向北),"121.5618292, 24.98430779"
207203,16564,馬偕專校三芝校區,Mackay Junior College of Nursing(Sanzhi Campus),38,0,0,121.4987284,25.252955,馬偕專校三芝校區門口對面(向西),"121.4987284, 25.252955"
13799,10143,安祥路口,Anxiang Rd. Intersection,1,,0,121.491777,24.9554,安康路二段391號同向(向南),"121.491777, 24.9554"
13801,10143,大茅埔,Damaopu,2,,0,121.4946626,24.95431753,安康路二段385、385-1號(向北),"121.4946626, 24.95431753"
13805,10143,仁康醫院,Jen-Kang Hospital,4,-1,0,121.499054,24.956348,安康路二段323巷口(向北),"121.499054, 24.956348"
13807,10143,薏仁坑,Yirenkeng,5,,0,121.502106,24.95733611,安康路二段362之1號對向(向北),"121.502106, 24.95733611"
13809,10143,安康車子路口,Ankang Chezi Rd. Intersection,6,,0,121.505929,24.958027,安康路二段269號對向(向東),"121.505929, 24.958027"
13811,10143,台北菸廠,Taipei Tobacco Factory,7,,0,121.509284,24.959017,新北市新店區安康路二段191號同向(向東),"121.509284, 24.959017"
13813,10143,浪漫貴族,Langmanguizu,8,,0,121.511483,24.960016,安康路二段180號對面(向北),"121.511483, 24.960016"
13815,10143,公崙新村(豐榮醫院),Gonglun New Village(Feng Rong Hospital),9,,0,121.512648,24.962041,安康路二段107巷口候車亭(向北),"121.512648, 24.962041"
13817,10143,安康派出所,Ankang Police Substation,10,,0,121.515311,24.963642,安康路二段54號對面(向北),"121.515311, 24.963642"
13819,10143,光華新村(安康路),Guanghua New Village(Ankang Rd.),11,-1,0,121.517942,24.963936,安康路1段306號對面(向東),"121.517942, 24.963936"
150920,16282,大庄福德廟,Dazhuang Fude Temple,14,,0,121.427465,25.188771,新北市淡水區新民街一段155號前,"121.427465, 25.188771"
150921,16282,行忠宮,Xingzhong Temple,15,,0,121.4300159,25.185697,新北市淡水區新民街一段80號對面,"121.4300159, 25.185697"
150922,16282,台北灣社區,Taibeiwan Community,16,,0,121.432079,25.185108,新北市淡水區新民街一段1號前(向東),"121.432079, 25.185108"
150924,16282,新興福德宮,Xinxing Fude Temple,18,-1,0,121.43609,25.18058,淡水區新民街222巷(向南),"121.43609, 25.18058"
150925,16282,真理大學,Aletheia University,19,,0,121.43661,25.17895,新民街180巷對面,"121.43661, 25.17895"
150926,16282,淡江中學,Tamkang High School,20,,0,121.4379098,25.177347,新民街114號對面,"121.4379098, 25.177347"
150927,16282,農會新興分部,Farmers Association Xinxing Branch,21,,0,121.4384374,25.176422,新北市淡水區,"121.4384374, 25.176422"
