name,star,comment,class,address,latitude,longitude
隱茶於市,4.5,19,冰品飲料店,新北市鶯歌區國中街120號,24.9401638,121.3395606
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,珍珠奶茶,新北市三峽區和平街107號,24.9382843,121.3703329
TEA'S 原味-八德介壽店,3.4,108,冰品飲料店,桃園市八德區介壽路一段770號,24.9633852,121.3000639
三峽冰鎮-北大店,4,264,冰品飲料店,新北市三峽區大德路485號,24.947807,121.37419
CoCo都可 三峽大雅店,4.3,219,冰品飲料店,新北市樹林區大雅路280號,24.9472177,121.3798771
Tea's 原味（鶯歌南雅店）,3.2,56,冰品飲料店,新北市鶯歌區南雅路35號,24.954198,121.3490025
易家紅茶冰,3.6,8,冰品飲料店,新北市三峽區中園街26號,24.9268903,121.3681208
火金姑茶,4.4,43,茶葉店,新北市三峽區安坑里11鄰 51-6號,24.9315231,121.463942
涎露茗茶,0,0,茶葉店,新北市三峽區,24.9177366,121.4628214
甘霖冰室,0,0,冰品飲料店,新北市三峽區成福路261號,24.9235991,121.427911
三峽日盛製茶 七代傳承,4.5,39,茶葉店,新北市三峽區成福路308-1號,24.9234616,121.4289819
老家Black Tea (Old Place),4.7,46,無酒精飲料店,新北市三峽區中山路37號,24.9344206,121.3682438
好了啦-三峽祖師廟店,3,4,果汁,新北市三峽區長福街2號正對面,24.933576,121.370231
雲萃茶作,3.9,30,茶葉店,新北市三峽區民權街69號,24.9329941,121.369691
有福製茶廠/新北製茶廠/新北茶葉/新北茶葉批發/新北茶農,4.6,43,茶葉店,新北市三峽區竹崙路87-1號,24.9188232,121.4324518
山泉水 清茶館,3,1,無酒精飲料店,新北市三峽區清水街334號,24.9338546,121.3712325
幸福搖搖-西門1號店,4.4,323,冰品飲料店,台北市萬華區成都路54號1樓,25.042642,121.5060244
蟾蜍山谷烤肉區,4,561,冰品飲料店,新北市三峽區130之1號,24.8566359,121.4355647
愛沐芋芋頭芋圓仙草凍專賣店-三峽特色冰店|必吃芋圓|人氣飲料|熱門飲料|推薦手搖|仙草凍推薦,3.9,29,無酒精飲料店,新北市三峽區和平街103號,24.938113,121.370173
茶裡不然-大坪林店,4.6,64,冰品飲料店,新北市新店區北新路三段159號,24.9837749,121.5410231
里木Limonetea 手作茶飲,5,138,冰品飲料店,桃園市大溪區埔頂路一段300之2號,24.9014712,121.2741911
五寮尖山休息站,4.5,132,冰品飲料店,新北市三峽區圳頭82號,24.87914,121.370536
