name,latitude,longitude
臺北市立大學(忠誠路二段207巷),25.11642,121.53743
天母東路8巷/忠誠路二段154巷口,25.11579,121.53113
美崙公園(東北側),25.09886,121.51835
福安河濱公園,25.09646,121.49358
台北花木批發市場,25.00402,121.54074
捷運萬隆站(4號出口),25.0027,121.53861
捷運萬隆站(1號出口),25.00115,121.53916
萬和二號公園,25.00154,121.5364
捷運萬隆站(2號出口),25.00144,121.53983
景仁公園,24.99621,121.54043
捷運景美站(2號出口),24.99366,121.54124
羅斯福景隆街口,24.99898,121.5403
景福街/羅斯福路6段142巷口,24.99812,121.53663
興旺公園,25.00587,121.55012
興福國中,25.00465,121.54916
興隆路2段203巷,25.00346,121.54709
景美運動公園,25.00219,121.54454
景美醫院,24.99136,121.54008
師範大學公館校區,25.00792,121.53731
景華街128巷口,24.99543,121.54725
仙跡岩登山口(景興路),24.99118,121.5436
國立政治大學,24.98737,121.57726
捷運動物園站,24.99873,121.57985
捷運木柵站,24.99798,121.57455
捷運萬芳社區站,24.99886,121.56769
文山運動中心,24.99676,121.5596
捷運辛亥站,25.00467,121.55684
興豐公園,24.99982,121.54761
木柵光輝路口,24.98816,121.55528
考試院,24.98747,121.54984
和興路26巷口,24.98573,121.54532
世新大學,24.98859,121.54336
一壽橋,24.97837,121.55548
臺北市立景美女中,24.98058,121.55624
永安藝文館-表演36房,24.98414,121.56907
忠順區民活動中心,24.98471,121.56332
景文中學,24.98574,121.56745
老泉街籃球場,24.97619,121.5583
文山行政中心,24.98959,121.56959
木柵公園,24.98718,121.56059
興隆公共住宅D2區,24.98814,121.56356
木新路3段95巷口,24.98088,121.56313
樟腳里公園,24.98181,121.56567
實踐國中,24.98301,121.55404
指南路3段2巷,24.98537,121.57959
萊茵公園,24.98642,121.56514
木柵社會住宅,24.98935,121.56651
秀明路一段185巷口,24.99151,121.56836
秀明路一段129巷口,24.99111,121.56703
恆光橋(老泉街),24.97989,121.56753
萬有3號公園,24.99889,121.5433
捷運萬芳醫院站(興隆路三段115巷),24.99939,121.55848
興得閱覽室,24.99579,121.55498
辛亥生態公園,25.00348,121.55642
博嘉運動公園,25.00079,121.57534
國立政治大學(萬壽路),24.98841,121.57649
仙岩公園,24.99797,121.54982
政大一街口,24.98543,121.58006
文山第二行政中心,25.00115,121.55142
移民署訓練中心,24.99271,121.55865
海巡署(南側),24.99472,121.55949
明道國小東南側,24.98695,121.56456
木南公園,24.98662,121.57071
