name,class,address,latitude,longitude,"latitude, longitude"
臺北市東方高級工商職業學校,職業學院,台北市大安區信義路四段186巷8號,25.0322608,121.5515023,"25.0322608, 121.5515023"
喬治高職大安校區（主要校區請至基隆路對面155號信義校區）,學校,台北市信義區基隆路二段155號,25.0266735,121.5544462,"25.0266735, 121.5544462"
臺北市私立開平餐飲職業學校,廚藝學校,台北市大安區復興南路二段148巷24號,25.0288438,121.5420403,"25.0288438, 121.5420403"
臺北市立和平高級中學,高中,台北市大安區臥龍街100號,25.0196314,121.5491522,"25.0196314, 121.5491522"
臺北市芳和實驗中學,中學,台北市大安區臥龍街170號,25.0187358,121.5502421,"25.0187358, 121.5502421"
臺北市立大安高級工業職業學校,職業學院,台北市大安區復興南路二段52號,25.0320981,121.5429742,"25.0320981, 121.5429742"
台北市私立大同高級中學,高中,台北市中山區中山北路三段40號,25.0660212,121.5205251,"25.0660212, 121.5205251"
臺北市私立稻江高級護理家事職業學校,職業學院,台北市中山區新生北路三段55號,25.0656167,121.529025,"25.0656167, 121.529025"
臺北市立中山女子高級中學,女子高中,台北市中山區長安東路二段141號,25.0486787,121.5371051,"25.0486787, 121.5371051"
臺北市立大同高級中學,高中,台北市中山區長春路167號,25.0550217,121.5352723,"25.0550217, 121.5352723"
臺北市立大直高級中學,高中,台北市中山區北安路420號,25.0785086,121.5434104,"25.0785086, 121.5434104"
強恕中學,高中,台北市中正區汀州路二段143號,25.0251621,121.5203411,"25.0251621, 121.5203411"
臺北市開南高級中等學校,職業學校,台北市中正區濟南路一段6號,25.0421157,121.5216986,"25.0421157, 121.5216986"
臺北市立建國高級中學,男子高中,台北市中正區南海路56號,25.0307721,121.5123045,"25.0307721, 121.5123045"
臺北市立成功高級中學,男子高中,台北市中正區濟南路一段71號,25.0424263,121.5236059,"25.0424263, 121.5236059"
臺北市立第一女子高級中學,女子高中,台北市中正區重慶南路一段165號,25.0385655,121.513098,"25.0385655, 121.513098"
私立靜修高級中學,高中,台北市大同區寧夏路59號,25.057931,121.5154866,"25.057931, 121.5154866"
臺北市私立稻江高級商業職業學校,職業學校,台北市大同區民權西路225巷24號,25.0640547,121.5119277,"25.0640547, 121.5119277"
臺北市立明倫高級中學,高中,台北市大同區承德路三段336號,25.0756403,121.5191668,"25.0756403, 121.5191668"
臺北市立成淵高級中學,高中,台北市大同區承德路二段235號,25.0613726,121.5187817,"25.0613726, 121.5187817"
臺北市立華江高級中學,高中,台北市萬華區西藏路213號,25.0279587,121.4971355,"25.0279587, 121.4971355"
臺北市立大理高級中學,高中,台北市萬華區長順街2號,25.0308614,121.4912045,"25.0308614, 121.4912045"
